CaO;MgO;Al2O3;SiO2;Fe2O3
40.7;14.5;18.4;22.2;0.27
52.49;5.46;9.22;28.2;0.93
39.84;5.54;30.65;7.52;13.1
26.0;9.1;36.3;6.8;14.56
39.2;9.2;34.3;6.9;6.0
50.9;8.3;29.5;4.2;4.22
55.1;9.9;23.3;9.6;1.11
50.0;9.0;29.0;6.0;3.11
49.0;8.6;28.0;6.4;5.45
56.25;5.88;14.01;9.65;4.81
56.34;13.04;18.58;9.31;4.78
54.1;;2.5;32.5;1.91
42.0;6.0;12.0;21.0;1.11
42.5;12.6;22.9;14.2;2.23
58.1;6.2;4.6;26.4;4.78
51.0;13.2;11.36;17.65;0.71
58.09;4.83;15.71;9.52;0.86
56.0;10.0;11.0;17.0;2.0
55.0;7.5;12.5;15.0;2.1
57.5;11.6;4.3;19.8;3.3
50.5;11.9;18.6;12.6;1.6
37.4;4.25;1.62;50.1;2.63
40.0;5.9;32.5;5.0;5.33
51.5;11.3;1.2;28.3;
55.7;4.3;2.0;26.1;1.5
54.0;8.2;30.2;9.0;1.04
54.5;4.0;11.1;16.4;8.7
56.7;9.6;6.6;17.7;2.2
56.7;9.73;6.67;17.7;2.19
54.0;16.5;10.3;14.3;1.77
42.1;6.1;13.0;17.9;7.1
48.37;15.25;14.3;15.0;1.71
53.9;14.0;11.3;18.6;1.1
62.7;6.8;2.4;24.1;2.8
34.4;21.5;16.9;24.1;1.8
47.0;5.0;6.2;16.3;26.59
40.7;10.9;4.1;14.7;30.88
38.7;12.8;7.0;37.9;3.15
36.9;10.3;4.3;27.8;21.59
38.9;11.0;2.0;12.8;37.17
28.7;11.4;5.3;18.7;37.6
50.65;2.77;1.36;32.41;2.66
65.23;3.96;16.55;12.35;0.79
57.55;5.04;23.17;6.21;3.55
58.4;10.2;7.1;18.9;2.36
51.2;8.4;11.9;15.0;2.57
50.7;13.6;23.3;10.0;0.53
59.2;7.92;8.27;21.3;1.0
57.8;7.1;27.3;3.0;2.9
55.79;6.0;4.29;23.5;1.69
44.5;6.6;26.6;10.9;4.3
53.96;6.36;28.82;3.77;3.82
61.64;5.99;4.42;22.94;1.01
48.6;8.1;4.2;23.7;1.21
46.3;7.4;28.3;8.6;5.0
49.8;6.4;27.1;10.1;1.1
24.899;8.633;0.0;22.934;35.233
50.9;6.3;27.8;8.3;1.1
48.77;16.42;8.92;20.21;2.18
50.36;13.06;9.36;21.64;1.63
46.3;7.4;28.3;8.6;5.0
55.0;7.0;9.0;17.0;5.5
39.18;3.33;1.74;38.78;2.19
40.2;14.81;4.94;18.74;3.64
68.27;4.21;1.15;21.56;0.36
52.2;2.9;23.2;11.8;7.23
51.0;14.2;11.1;18.0;1.76
60.2;5.1;6.3;23.2;1.6
51.0;6.3;27.9;8.3;1.1
55.86;3.4;36.91;0.73;1.16
52.76;5.86;5.07;21.58;2.37
45.9;8.6;4.2;21.6;2.57
50.2;4.9;19.9;11.7;3.0
44.1;17.9;3.4;17.5;3.29
55.4;5.8;2.7;27.2;2.14
52.1;4.9;14.8;19.3;1.0
52.3;5.4;28.9;5.1;0.71
46.4;7.0;3.9;21.1;2.29
52.6;8.8;4.2;23.6;0.43
40.3;13.1;4.8;15.9;6.43
47.7;10.4;4.3;21.8;3.15
53.5;9.58;9.9;23.6;1.59
54.9;8.5;6.6;23.5;1.1
40.19;19.38;7.29;12.49;2.38
40.2;14.81;4.94;18.74;3.64
57.09;3.66;18.46;16.18;0.65
45.6;5.8;6.7;19.3;10.8
48.1;6.6;5.6;20.7;7.2
54.86;3.41;21.46;16.33;0.62
63.59;2.6;2.3;21.3;8.08
51.0;7.3;11.18;21.7;2.0
53.4;4.6;5.7;27.8;3.57
51.86;5.92;20.12;12.1;1.93
46.5;11.0;4.02;23.3;7.71
46.14;2.13;2.95;31.42;0.88
53.4;12.9;6.7;23.2;1.0
54.2;8.8;1.32;11.5;3.4
35.6;8.03;4.13;18.0;26.8
52.3;6.82;3.28;16.5;14.5
47.4;2.3;2.6;29.4;0.7
44.89;15.62;13.87;21.42;0.89
58.57;10.66;20.13;8.15;0.78
40.2;14.8;4.94;18.7;3.64
58.66;4.02;5.31;22.68;1.92
62.32;4.26;18.64;8.45;0.746
55.68;6.33;3.79;26.05;1.65
61.82;2.65;10.59;16.52;2.62
50.24;3.58;16.26;14.86;6.84
59.39;2.91;10.12;16.89;4.62
45.2;13.35;6.23;15.03;3.53
51.7;6.7;3.6;29.6;2.8
46.73;6.4;22.97;14.35;6.13
47.07;5.18;5.85;17.1;9.07
